CONSINEE,CONSINEE_ADDRESS,PORT_CODE,FOREIGN_PORT,FOREIGN_COUNTRY
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
KHEIRAAT EL SAYADEEN FOR TRADING ES,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
KHEIRAAT EL SAYADEEN FOR TRADING ES,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
KHEIRAAT EL SAYADEEN FOR TRADING ES,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
KHEIRAAT EL SAYADEEN FOR TRADING ES,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
KHEIRAAT EL SAYADEEN FOR TRADING ES,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
KHEIRAAT EL SAYADEEN FOR TRADING ES,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
KHEIRAAT EL SAYADEEN FOR TRADING ES,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
KHEIRAAT EL SAYADEEN FOR TRADING ES,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
KHEIRAAT EL SAYADEEN FOR TRADING ES,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
SILVER HILLS FISH FOUNDATION,N?A,JED,Jeddah - King Abdulaziz International,Saudi Arabia
SILVER HILLS FISH FOUNDATION,N?A,JED,Jeddah - King Abdulaziz International,Saudi Arabia
SILVER HILLS FISH FOUNDATION,N?A,JED,Jeddah - King Abdulaziz International,Saudi Arabia
SILVER HILLS FISH FOUNDATION,N?A,JED,Jeddah - King Abdulaziz International,Saudi Arabia
KHEIRAAT EL SAYADEEN FOR TRADING ES,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
KHEIRAAT EL SAYADEEN FOR TRADING ES,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
KHEIRAAT EL SAYADEEN FOR TRADING ES,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
KHEIRAAT EL SAYADEEN FOR TRADING ES,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
KHEIRAAT EL SAYADEEN FOR TRADING ES,N?A,RUH,Riyadh - King Khaled International,Saudi Arabia
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SEA FREEZE GENERAL TRADING LLC,N?A,DXB,Dubai - Dubai International Airport,United Arab Emirates
SILVER HILLS FISH FOUNDATION,N?A,JED,Jeddah - King Abdulaziz International,Saudi Arabia
